time_s,y_pos_m,z_pos_m,fz_force_sensor_N,fz_force_base_N,adaptive_phi,dynamic_sigma
7.7297,-0.3777,0.434024,-141.645,146.201,0.0,1e-06
7.8477,-0.37795,0.434154,-138.377,145.339,0.0,1e-06
7.9666,-0.3782,0.434283,-136.248,142.229,0.0,1e-06
8.0742,-0.37845,0.434414,-133.492,137.952,0.0,1e-06
8.1843,-0.3787,0.434547,-130.05,132.922,0.0,1e-06
8.2834,-0.37895,0.434681,-126.137,127.42,1e-06,1e-06
9.1096,-0.3792,0.434817,-121.976,121.667,1e-06,1e-06
9.2317,-0.37945,0.434952,-117.757,115.84,1e-06,1e-06
9.3353,-0.3797,0.435086,-113.629,110.08,1e-06,1e-06
9.437,-0.37995,0.435219,-109.631,104.44,1e-06,1e-06
9.5341,-0.3802,0.435344,-105.163,98.488,1e-06,1e-06
9.6417,-0.38045,0.435459,-100.275,92.325,1e-06,1e-06
9.7329,-0.3807,0.435564,-95.28,86.238,1e-06,1e-06
9.8086,-0.38095,0.43566,-90.596,80.566,1e-06,1e-06
9.8879,-0.3812,0.435751,-86.628,75.627,1e-06,1e-06
9.9849,-0.38145,0.435839,-83.132,71.533,1e-06,1e-06
10.0867,-0.3817,0.435924,-80.212,68.176,1e-06,1e-06
10.187,-0.38195,0.436005,-77.886,65.455,1e-06,1e-06
10.2727,-0.3822,0.436084,-76.098,63.288,1e-06,1e-06
10.3631,-0.38245,0.43616,-74.779,61.598,1e-06,1e-06
10.4671,-0.3827,0.436232,-73.864,60.308,1e-06,1e-06
10.5707,-0.38295,0.4363,-73.283,59.352,1e-06,1e-06
10.6722,-0.3832,0.436365,-72.975,58.665,1e-06,1e-06
10.7654,-0.38345,0.436427,-72.879,58.193,1e-06,1e-06
10.8799,-0.3837,0.436485,-72.941,57.884,1e-06,1e-06
10.9838,-0.38395,0.43654,-73.116,57.697,1e-06,1e-06
11.091,-0.3842,0.436592,-73.36,57.595,1e-06,1e-06
11.199,-0.38445,0.436642,-73.639,57.547,1e-06,1e-06
11.3028,-0.3847,0.436688,-73.926,57.529,1e-06,1e-06
11.3989,-0.38495,0.436732,-74.199,57.521,1e-06,1e-06
11.4987,-0.3852,0.436773,-74.442,57.511,1e-06,1e-06
