time_s,y_pos_m,z_pos_m,fz_force_sensor_N,fz_force_base_N,adaptive_phi,dynamic_sigma
17.4826,-0.5006,-0.255054,2605.377,1836.167,-0.1,0.001
17.5166,-0.50075,-0.269937,2605.443,1836.723,-0.1,0.001
17.5476,-0.5009,-0.284824,2605.508,1837.273,-0.1,0.001
17.5781,-0.50105,-0.299716,2605.573,1837.817,-0.1,0.001
17.6071,-0.5012,-0.314612,2605.636,1838.352,-0.1,0.001
17.6395,-0.50135,-0.329513,2605.699,1838.88,-0.1,0.001
17.6707,-0.5015,-0.344418,2605.761,1839.398,-0.1,0.001
17.7042,-0.50165,-0.359327,2605.822,1839.908,-0.1,0.001
17.7382,-0.5018,-0.37424,2605.882,1840.41,-0.1,0.001
17.7797,-0.50195,-0.389157,2605.942,1840.905,-0.1,0.001
17.8187,-0.5021,-0.404079,2606.001,1841.39,-0.1,0.001
17.8607,-0.50225,-0.419004,2606.059,1841.866,-0.1,0.001
17.8948,-0.5024,-0.433933,2606.116,1842.332,-0.1,0.001
17.9408,-0.50255,-0.448866,2606.173,1842.792,-0.1,0.001
17.9833,-0.5027,-0.463802,2606.23,1843.246,-0.1,0.001
18.0163,-0.50285,-0.478742,2606.285,1843.695,-0.1,0.001
18.0483,-0.503,-0.493686,2606.34,1844.142,-0.1,0.001
18.0808,-0.50315,-0.508634,2606.394,1844.587,-0.1,0.001
18.1128,-0.5033,-0.523583,2606.436,1844.822,-0.1,0.001
18.1554,-0.50345,-0.538533,2606.472,1844.915,-0.1,0.001
18.1829,-0.5036,-0.553484,2606.515,1845.074,-0.1,0.001
18.213,-0.50375,-0.568437,2606.562,1845.288,-0.1,0.001
18.246,-0.5039,-0.583392,2606.611,1845.543,-0.1,0.001
18.2782,-0.50405,-0.598349,2606.66,1845.833,-0.1,0.001
