time_s,y_pos_m,z_pos_m,fz_force_sensor_N,fz_force_base_N,adaptive_phi,dynamic_sigma
3.2866,-0.3777,0.434023,-141.645,146.201,9.6e-05,0.001
3.3426,-0.37795,0.384402,0.0,0.0,4.6e-05,0.001
3.3661,-0.3782,0.379918,0.0,0.0,-4e-06,0.001
3.3991,-0.37845,0.413731,0.0,0.0,-5.4e-05,0.001
3.4301,-0.3787,0.478306,0.0,0.0,-0.000104,0.001
3.4616,-0.37895,0.565834,0.0,0.0,-0.000154,0.001
3.4956,-0.3792,0.668791,0.0,0.0,-0.000204,0.001
3.5236,-0.37945,0.780272,0.0,0.0,-0.000254,0.001
3.5697,-0.3797,0.88846,921.785,-693.839,-0.000998,0.001
3.802,-0.3832,0.859351,0.0,0.0,0.00317,0.001
3.833,-0.38345,0.815268,0.0,0.0,0.00312,0.001
3.8651,-0.3837,0.778329,0.0,0.0,0.00307,0.001
3.8961,-0.38395,0.748495,0.0,0.0,0.00302,0.001
3.9252,-0.3842,0.725303,0.0,0.0,0.00297,0.001
3.9589,-0.38445,0.708054,0.0,0.0,0.00292,0.001
3.9889,-0.3847,0.69591,0.0,0.0,0.00287,0.001
4.0179,-0.38495,0.688111,0.0,0.0,0.00282,0.001
4.0504,-0.3852,0.684014,0.0,0.0,0.00277,0.001
4.0834,-0.38545,0.683056,0.0,0.0,0.00272,0.001
4.1134,-0.3857,0.684756,0.0,0.0,0.00267,0.001
4.1458,-0.38595,0.688699,0.0,0.0,0.00262,0.001
4.1768,-0.3862,0.694528,0.0,0.0,0.00257,0.001
4.2088,-0.38645,0.701976,0.0,0.0,0.00252,0.001
4.2403,-0.3867,0.710726,0.0,0.0,0.00247,0.001
4.2683,-0.38695,0.720509,0.0,0.0,0.00242,0.001
4.3013,-0.3872,0.731903,0.0,0.0,0.00237,0.001
4.3335,-0.38745,0.744384,0.0,0.0,0.00232,0.001
4.3648,-0.3877,0.757569,0.0,0.0,0.00227,0.001
4.3958,-0.38795,0.771166,0.0,0.0,0.00222,0.001
4.4278,-0.3882,0.784948,0.0,0.0,0.00217,0.001
4.4598,-0.38845,0.797604,0.0,0.0,0.00212,0.001
4.4918,-0.3887,0.80902,19.223,11.412,0.002081,0.001
4.5228,-0.38895,0.819125,63.531,26.68,0.002058,0.001
4.5559,-0.3892,0.827632,99.324,14.036,0.002022,0.001
4.5889,-0.38945,0.834217,105.324,-36.781,0.001935,0.001
4.6199,-0.3897,0.838678,88.48,-115.778,0.00177,0.001
4.6512,-0.38995,0.840909,63.261,-214.745,0.001505,0.001
4.6822,-0.3902,0.841296,21.608,-276.91,0.001178,0.001
4.7132,-0.39045,0.840401,-11.854,-281.505,0.000846,0.001
4.7439,-0.3907,0.838383,-26.568,-269.606,0.000527,0.001
4.777,-0.39095,0.835352,-29.522,-257.138,0.00022,0.001
4.8049,-0.3912,0.83154,-26.532,-234.64,-6.5e-05,0.001
4.8351,-0.39145,0.827181,-20.253,-202.332,-0.000317,0.001
4.8671,-0.3917,0.822525,-12.676,-157.879,-0.000525,0.001
4.8981,-0.39195,0.81778,-5.982,-105.46,-0.000681,0.001
4.9271,-0.3922,0.813091,-1.637,-51.826,-0.000782,0.001
4.9596,-0.39245,0.808567,0.0,0.0,-0.000832,0.001
4.9896,-0.3927,0.803887,-0.0,0.0,-0.000882,0.001
5.0216,-0.39295,0.799148,-0.0,0.0,-0.000932,0.001
5.0591,-0.3932,0.794429,-0.0,0.0,-0.000982,0.001
