time_s,y_pos_m,z_pos_m,fz_force_sensor_N,fz_force_base_N,adaptive_phi,dynamic_sigma
3.734,-0.3777,0.434023,-141.645,146.201,9.6e-05,0.001
3.7887,-0.37795,0.384402,0.0,0.0,4.6e-05,0.001
3.8306,-0.3782,0.379918,0.0,0.0,-4e-06,0.001
3.8615,-0.37845,0.413731,0.0,0.0,-5.4e-05,0.001
3.8912,-0.3787,0.478306,0.0,0.0,-0.000104,0.001
3.9208,-0.37895,0.565834,0.0,0.0,-0.000154,0.001
3.9528,-0.3792,0.668791,0.0,0.0,-0.000204,0.001
3.9822,-0.37945,0.780272,0.0,0.0,-0.000254,0.001
4.0273,-0.3797,0.88846,921.785,-693.839,-0.000998,0.001
4.2684,-0.3832,0.859351,0.0,0.0,0.00317,0.001
4.2972,-0.38345,0.815268,0.0,0.0,0.00312,0.001
4.3311,-0.3837,0.778329,0.0,0.0,0.00307,0.001
4.3616,-0.38395,0.748495,0.0,0.0,0.00302,0.001
4.3878,-0.3842,0.725303,0.0,0.0,0.00297,0.001
4.4178,-0.38445,0.708054,0.0,0.0,0.00292,0.001
4.4507,-0.3847,0.69591,0.0,0.0,0.00287,0.001
4.4821,-0.38495,0.688111,0.0,0.0,0.00282,0.001
4.5131,-0.3852,0.684014,0.0,0.0,0.00277,0.001
4.5514,-0.38545,0.683056,0.0,0.0,0.00272,0.001
4.5805,-0.3857,0.684756,0.0,0.0,0.00267,0.001
4.609,-0.38595,0.688699,0.0,0.0,0.00262,0.001
4.639,-0.3862,0.694528,0.0,0.0,0.00257,0.001
4.6705,-0.38645,0.701976,0.0,0.0,0.00252,0.001
4.7031,-0.3867,0.710726,0.0,0.0,0.00247,0.001
4.738,-0.38695,0.720509,0.0,0.0,0.00242,0.001
4.7665,-0.3872,0.731903,0.0,0.0,0.00237,0.001
4.7988,-0.38745,0.744384,0.0,0.0,0.00232,0.001
4.8281,-0.3877,0.757569,0.0,0.0,0.00227,0.001
