time_s,y_pos_m,z_pos_m,fz_force_sensor_N,fz_force_base_N,adaptive_phi,dynamic_sigma
3.1621,-0.3777,0.434023,-141.645,146.201,9.6e-05,0.001
3.2256,-0.37795,0.384402,0.0,0.0,4.6e-05,0.001
3.2651,-0.3782,0.379918,0.0,0.0,-4e-06,0.001
3.2971,-0.37845,0.413731,0.0,0.0,-5.4e-05,0.001
3.3273,-0.3787,0.478306,0.0,0.0,-0.000104,0.001
3.3602,-0.37895,0.565834,0.0,0.0,-0.000154,0.001
3.3913,-0.3792,0.668791,0.0,0.0,-0.000204,0.001
3.4233,-0.37945,0.780272,0.0,0.0,-0.000254,0.001
3.4715,-0.3797,0.88846,921.785,-693.839,-0.000998,0.001
3.7191,-0.3832,0.859351,0.0,0.0,0.00317,0.001
3.7536,-0.38345,0.815268,0.0,0.0,0.00312,0.001
3.7986,-0.3837,0.778329,0.0,0.0,0.00307,0.001
3.8276,-0.38395,0.748495,0.0,0.0,0.00302,0.001
3.8571,-0.3842,0.725303,0.0,0.0,0.00297,0.001
3.8861,-0.38445,0.708054,0.0,0.0,0.00292,0.001
3.9171,-0.3847,0.69591,0.0,0.0,0.00287,0.001
3.9502,-0.38495,0.688111,0.0,0.0,0.00282,0.001
3.9812,-0.3852,0.684014,0.0,0.0,0.00277,0.001
4.0132,-0.38545,0.683056,0.0,0.0,0.00272,0.001
4.0427,-0.3857,0.684756,0.0,0.0,0.00267,0.001
4.0727,-0.38595,0.688699,0.0,0.0,0.00262,0.001
4.1067,-0.3862,0.694528,0.0,0.0,0.00257,0.001
4.1372,-0.38645,0.701976,0.0,0.0,0.00252,0.001
4.1682,-0.3867,0.710726,0.0,0.0,0.00247,0.001
4.1998,-0.38695,0.720509,0.0,0.0,0.00242,0.001
4.2328,-0.3872,0.731903,0.0,0.0,0.00237,0.001
4.2613,-0.38745,0.744384,0.0,0.0,0.00232,0.001
4.2893,-0.3877,0.757569,0.0,0.0,0.00227,0.001
4.3223,-0.38795,0.771166,0.0,0.0,0.00222,0.001
4.3538,-0.3882,0.784948,0.0,0.0,0.00217,0.001
4.3838,-0.38845,0.797604,0.0,0.0,0.00212,0.001
4.4138,-0.3887,0.80902,19.223,11.412,0.002081,0.001
4.4454,-0.38895,0.819125,63.531,26.68,0.002058,0.001
4.4754,-0.3892,0.827632,99.324,14.036,0.002022,0.001
