time_s,y_pos_m,z_pos_m,fz_force_sensor_N,fz_force_base_N,adaptive_phi,dynamic_sigma
3.8052,-0.3777,0.434023,-141.645,146.201,9.6e-05,0.001
3.8623,-0.37795,0.384402,0.0,0.0,4.6e-05,0.001
3.8892,-0.3782,0.379918,0.0,0.0,-4e-06,0.001
3.9207,-0.37845,0.413731,0.0,0.0,-5.4e-05,0.001
3.9537,-0.3787,0.478306,0.0,0.0,-0.000104,0.001
3.9817,-0.37895,0.565834,0.0,0.0,-0.000154,0.001
4.0178,-0.3792,0.668791,0.0,0.0,-0.000204,0.001
4.0498,-0.37945,0.780272,0.0,0.0,-0.000254,0.001
4.0929,-0.3797,0.88846,921.785,-693.839,-0.000998,0.001
4.3285,-0.3832,0.859351,0.0,0.0,0.00317,0.001
4.3554,-0.38345,0.815268,0.0,0.0,0.00312,0.001
4.3885,-0.3837,0.778329,0.0,0.0,0.00307,0.001
4.4197,-0.38395,0.748495,0.0,0.0,0.00302,0.001
4.4526,-0.3842,0.725303,0.0,0.0,0.00297,0.001
4.4846,-0.38445,0.708054,0.0,0.0,0.00292,0.001
4.5117,-0.3847,0.69591,0.0,0.0,0.00287,0.001
4.5428,-0.38495,0.688111,0.0,0.0,0.00282,0.001
4.5757,-0.3852,0.684014,0.0,0.0,0.00277,0.001
4.6081,-0.38545,0.683056,0.0,0.0,0.00272,0.001
4.6411,-0.3857,0.684756,0.0,0.0,0.00267,0.001
4.6701,-0.38595,0.688699,0.0,0.0,0.00262,0.001
4.7041,-0.3862,0.694528,0.0,0.0,0.00257,0.001
4.7337,-0.38645,0.701976,0.0,0.0,0.00252,0.001
4.7634,-0.3867,0.710726,0.0,0.0,0.00247,0.001
4.7964,-0.38695,0.720509,0.0,0.0,0.00242,0.001
4.8298,-0.3872,0.731903,0.0,0.0,0.00237,0.001
4.8589,-0.38745,0.744384,0.0,0.0,0.00232,0.001
4.8918,-0.3877,0.757569,0.0,0.0,0.00227,0.001
4.9194,-0.38795,0.771166,0.0,0.0,0.00222,0.001
4.9494,-0.3882,0.784948,0.0,0.0,0.00217,0.001
4.9794,-0.38845,0.797604,0.0,0.0,0.00212,0.001
5.01,-0.3887,0.80902,19.223,11.412,0.002081,0.001
5.0399,-0.38895,0.819125,63.531,26.68,0.002058,0.001
5.0719,-0.3892,0.827632,99.324,14.036,0.002022,0.001
5.1051,-0.38945,0.834217,105.324,-36.781,0.001935,0.001
5.1357,-0.3897,0.838678,88.48,-115.778,0.00177,0.001
5.1668,-0.38995,0.840909,63.261,-214.745,0.001505,0.001
5.1959,-0.3902,0.841296,21.608,-276.91,0.001178,0.001
5.2265,-0.39045,0.840401,-11.854,-281.505,0.000846,0.001
5.2553,-0.3907,0.838383,-26.568,-269.606,0.000527,0.001
5.2863,-0.39095,0.835352,-29.522,-257.138,0.00022,0.001
5.317,-0.3912,0.83154,-26.532,-234.64,-6.5e-05,0.001
5.349,-0.39145,0.827181,-20.253,-202.332,-0.000317,0.001
5.3801,-0.3917,0.822525,-12.676,-157.879,-0.000525,0.001
5.4109,-0.39195,0.81778,-5.982,-105.46,-0.000681,0.001
5.4439,-0.3922,0.813091,-1.637,-51.826,-0.000782,0.001
5.4759,-0.39245,0.808567,0.0,0.0,-0.000832,0.001
5.5047,-0.3927,0.803887,-0.0,0.0,-0.000882,0.001
5.5364,-0.39295,0.799148,-0.0,0.0,-0.000932,0.001
5.5674,-0.3932,0.794429,-0.0,0.0,-0.000982,0.001
5.5995,-0.39345,0.789795,-0.0,0.0,-0.001032,0.001
5.6281,-0.3937,0.785304,-0.0,0.0,-0.001082,0.001
5.6591,-0.39395,0.781,-0.0,0.0,-0.001132,0.001
5.691,-0.3942,0.776918,-0.0,0.0,-0.001182,0.001
5.7219,-0.39445,0.773081,-0.0,0.0,-0.001232,0.001
5.7529,-0.3947,0.769506,-0.0,0.0,-0.001282,0.001
5.7824,-0.39495,0.766203,-0.0,0.0,-0.001332,0.001
5.8142,-0.3952,0.763174,-0.0,0.0,-0.001382,0.001
5.8472,-0.39545,0.760419,-0.0,0.0,-0.001432,0.001
5.8771,-0.3957,0.757933,-0.0,0.0,-0.001482,0.001
5.9082,-0.39595,0.755706,-0.0,0.0,-0.001532,0.001
5.9399,-0.3962,0.753729,-0.0,0.0,-0.001582,0.001
5.9717,-0.39645,0.751995,-0.0,0.0,-0.001632,0.001
6.0045,-0.3967,0.750527,-0.0,0.0,-0.001682,0.001
6.0352,-0.39695,0.749377,-0.0,0.0,-0.001732,0.001
6.0702,-0.3972,0.748617,-0.0,0.0,-0.001782,0.001
6.1012,-0.39745,0.748191,-0.0,0.0,-0.001832,0.001
6.1297,-0.3977,0.748043,-0.0,0.0,-0.001882,0.001
6.1608,-0.39795,0.74801,-0.0,0.0,-0.001932,0.001
6.1948,-0.3982,0.747984,-0.0,0.0,-0.001982,0.001
6.2253,-0.39845,0.74794,-0.0,0.0,-0.002032,0.001
6.2548,-0.3987,0.74787,-0.0,0.0,-0.002082,0.001
6.2878,-0.39895,0.747767,-0.0,0.0,-0.002132,0.001
6.3203,-0.3992,0.747628,-0.0,0.0,-0.002182,0.001
