time_s,y_pos_m,z_pos_m,fz_force_sensor_N,fz_force_base_N,adaptive_phi,dynamic_sigma
12.3869,-0.3912,0.437219,-73.799,55.016,0.001318,0.001
12.4668,-0.39145,0.437232,-73.694,54.884,0.001323,0.001
12.5757,-0.3917,0.437243,-73.594,54.758,0.001328,0.001
12.6599,-0.39195,0.437255,-73.501,54.637,0.001333,0.001
12.7455,-0.3922,0.437266,-73.412,54.523,0.001337,0.001
12.8406,-0.39245,0.437277,-73.329,54.413,0.001341,0.001
12.9247,-0.3927,0.437287,-73.25,54.309,0.001346,0.001
13.0221,-0.39295,0.437297,-73.175,54.209,0.00135,0.001
13.162,-0.3932,0.437306,-73.104,54.114,0.001354,0.001
13.2519,-0.39345,0.437316,-73.037,54.023,0.001358,0.001
13.3301,-0.3937,0.437325,-72.974,53.937,0.001362,0.001
13.4207,-0.39395,0.437333,-72.913,53.854,0.001366,0.001
13.5127,-0.3942,0.437342,-72.856,53.774,0.00137,0.001
13.604,-0.39445,0.43735,-72.801,53.698,0.001373,0.001
13.7016,-0.3947,0.437358,-72.749,53.625,0.001377,0.001
13.8021,-0.39495,0.437365,-72.699,53.556,0.001381,0.001
13.9067,-0.3952,0.437373,-72.651,53.489,0.001384,0.001
14.0265,-0.39545,0.43738,-72.606,53.424,0.001387,0.001
14.1096,-0.3957,0.437386,-72.562,53.363,0.001391,0.001
14.1978,-0.39595,0.437393,-72.521,53.303,0.001394,0.001
14.3042,-0.3962,0.437399,-72.481,53.246,0.001397,0.001
14.4139,-0.39645,0.437406,-72.442,53.192,0.001401,0.001
14.502,-0.3967,0.437412,-72.405,53.139,0.001404,0.001
14.6102,-0.39695,0.437417,-72.37,53.088,0.001407,0.001
14.7058,-0.3972,0.437423,-72.336,53.04,0.00141,0.001
14.785,-0.39745,0.437428,-72.303,52.993,0.001413,0.001
14.8972,-0.3977,0.437434,-72.272,52.948,0.001416,0.001
14.9749,-0.39795,0.437439,-72.242,52.904,0.001419,0.001
15.0569,-0.3982,0.437444,-72.213,52.862,0.001422,0.001
15.158,-0.39845,0.437449,-72.185,52.822,0.001424,0.001
15.2542,-0.3987,0.437453,-72.158,52.784,0.001427,0.001
15.3533,-0.39895,0.437458,-72.132,52.746,0.00143,0.001
15.4602,-0.3992,0.437462,-72.107,52.711,0.001433,0.001
15.5697,-0.39945,0.437466,-72.083,52.676,0.001435,0.001
15.6703,-0.3997,0.43747,-72.06,52.643,0.001438,0.001
15.7893,-0.39995,0.437474,-72.038,52.611,0.001441,0.001
15.8856,-0.4002,0.437478,-72.016,52.58,0.001443,0.001
15.9993,-0.40045,0.437482,-71.995,52.551,0.001446,0.001
16.102,-0.4007,0.437485,-71.976,52.522,0.001448,0.001
16.195,-0.40095,0.437489,-71.957,52.495,0.001451,0.001
16.2932,-0.4012,0.437492,-71.938,52.469,0.001453,0.001
16.4,-0.40145,0.437496,-71.92,52.443,0.001456,0.001
16.5103,-0.4017,0.437499,-71.904,52.42,0.001458,0.001
16.6134,-0.40195,0.437502,-71.891,52.403,0.00146,0.001
16.7069,-0.4022,0.437505,-71.88,52.389,0.001463,0.001
16.7904,-0.40245,0.437508,-71.869,52.376,0.001465,0.001
16.8991,-0.4027,0.437511,-71.859,52.365,0.001468,0.001
17.0224,-0.40295,0.437514,-71.85,52.355,0.00147,0.001
17.1057,-0.4032,0.437516,-71.841,52.346,0.001472,0.001
17.2208,-0.40345,0.437519,-71.831,52.336,0.001475,0.001
17.3079,-0.4037,0.437521,-71.821,52.327,0.001477,0.001
17.471,-0.40395,0.437524,-71.811,52.317,0.001479,0.001
17.5797,-0.4042,0.437526,-71.801,52.307,0.001482,0.001
17.706,-0.40445,0.437528,-71.79,52.297,0.001484,0.001
17.8077,-0.4047,0.437531,-71.779,52.287,0.001486,0.001
17.908,-0.40495,0.437533,-71.768,52.276,0.001488,0.001
18.0221,-0.4052,0.437535,-71.756,52.266,0.001491,0.001
18.1124,-0.40545,0.437102,0.0,0.0,0.001441,0.001
18.2156,-0.4057,0.437157,-46.777,36.051,0.001427,0.001
18.3001,-0.40595,0.437209,-54.816,41.209,0.001418,0.001
18.42,-0.4062,0.437252,-60.674,45.006,0.001413,0.001
18.5023,-0.40645,0.437287,-65.273,48.056,0.001411,0.001
18.5778,-0.4067,0.437316,-68.907,50.518,0.001412,0.001
18.6589,-0.40695,0.43734,-71.747,52.51,0.001414,0.001
18.7638,-0.4072,0.437359,-73.886,54.053,0.001418,0.001
18.8289,-0.40745,0.437374,-75.413,55.174,0.001423,0.001
18.9188,-0.4077,0.437387,-76.428,55.934,0.001429,0.001
18.9989,-0.40795,0.437397,-77.034,56.4,0.001436,0.001
19.0854,-0.4082,0.437406,-77.331,56.652,0.001442,0.001
19.176,-0.40845,0.437413,-77.395,56.736,0.001449,0.001
19.2583,-0.4087,0.43742,-77.291,56.695,0.001456,0.001
19.35,-0.40895,0.437426,-77.069,56.562,0.001462,0.001
19.4399,-0.4092,0.437431,-76.772,56.365,0.001469,0.001
19.5436,-0.40945,0.437437,-76.431,56.125,0.001475,0.001
19.6419,-0.4097,0.437442,-76.068,55.86,0.001481,0.001
19.741,-0.40995,0.437448,-75.701,55.583,0.001486,0.001
19.8549,-0.4102,0.437453,-75.341,55.304,0.001491,0.001
19.9495,-0.41045,0.437459,-74.996,55.03,0.001497,0.001
20.0502,-0.4107,0.437465,-74.671,54.765,0.001501,0.001
20.1419,-0.41095,0.43747,-74.369,54.513,0.001506,0.001
20.2601,-0.4112,0.437476,-74.09,54.277,0.00151,0.001
20.3427,-0.41145,0.437482,-73.836,54.057,0.001514,0.001
20.4434,-0.4117,0.437488,-73.605,53.855,0.001518,0.001
20.5306,-0.41195,0.437494,-73.396,53.669,0.001522,0.001
20.6261,-0.4122,0.4375,-73.209,53.5,0.001525,0.001
20.7168,-0.41245,0.437505,-73.041,53.347,0.001528,0.001
20.8223,-0.4127,0.43751,-72.891,53.209,0.001532,0.001
20.9332,-0.41295,0.437516,-72.757,53.085,0.001535,0.001
21.0181,-0.4132,0.437521,-72.645,52.985,0.001538,0.001
21.1208,-0.41345,0.437525,-72.548,52.901,0.001541,0.001
21.2124,-0.4137,0.43753,-72.463,52.827,0.001543,0.001
21.3071,-0.41395,0.437534,-72.388,52.761,0.001546,0.001
21.4177,-0.4142,0.437539,-72.321,52.703,0.001549,0.001
21.5097,-0.41445,0.437542,-72.26,52.65,0.001552,0.001
21.6052,-0.4147,0.437546,-72.207,52.605,0.001554,0.001
21.7149,-0.41495,0.43755,-72.16,52.568,0.001557,0.001
21.8203,-0.4152,0.437553,-72.117,52.534,0.001559,0.001
21.8978,-0.41545,0.437556,-72.079,52.503,0.001562,0.001
22.0053,-0.4157,0.437122,0.0,0.0,0.001512,0.001
22.0936,-0.41595,0.437185,-47.386,36.581,0.001498,0.001
22.1742,-0.4162,0.437241,-55.316,41.636,0.00149,0.001
22.253,-0.41645,0.437287,-61.091,45.351,0.001485,0.001
22.3399,-0.4167,0.437324,-65.624,48.335,0.001484,0.001
22.4171,-0.41695,0.437354,-69.204,50.743,0.001484,0.001
22.5017,-0.4172,0.437377,-71.991,52.683,0.001487,0.001
22.5797,-0.41745,0.437396,-74.087,54.191,0.001491,0.001
22.6726,-0.4177,0.43741,-75.574,55.282,0.001497,0.001
22.7627,-0.41795,0.437422,-76.554,56.016,0.001503,0.001
22.8411,-0.4182,0.437431,-77.128,56.458,0.001509,0.001
22.9081,-0.41845,0.437438,-77.398,56.69,0.001516,0.001
23.01,-0.4187,0.437444,-77.441,56.76,0.001523,0.001
23.0934,-0.41895,0.43745,-77.32,56.707,0.001529,0.001
23.1721,-0.4192,0.437455,-77.088,56.567,0.001536,0.001
23.253,-0.41945,0.437459,-76.784,56.366,0.001542,0.001
23.3297,-0.4197,0.437464,-76.44,56.125,0.001548,0.001
23.4156,-0.41995,0.437469,-76.076,55.86,0.001554,0.001
23.5071,-0.4202,0.437474,-75.711,55.585,0.00156,0.001
23.5894,-0.42045,0.437479,-75.354,55.308,0.001565,0.001
23.6729,-0.4207,0.437485,-75.013,55.038,0.00157,0.001
23.7762,-0.42095,0.43749,-74.692,54.777,0.001575,0.001
23.86,-0.4212,0.437496,-74.395,54.53,0.001579,0.001
23.947,-0.42145,0.437502,-74.121,54.298,0.001584,0.001
24.0299,-0.4217,0.437508,-73.872,54.083,0.001588,0.001
24.1071,-0.42195,0.437513,-73.645,53.885,0.001592,0.001
24.19,-0.4222,0.437519,-73.441,53.703,0.001595,0.001
24.3468,-0.42245,0.437525,-73.258,53.538,0.001599,0.001
24.4536,-0.4227,0.437531,-73.094,53.389,0.001602,0.001
24.5656,-0.42295,0.437536,-72.947,53.254,0.001606,0.001
24.6817,-0.4232,0.437541,-72.817,53.133,0.001609,0.001
24.7689,-0.42345,0.437546,-72.707,53.038,0.001612,0.001
24.862,-0.4237,0.437551,-72.613,52.956,0.001615,0.001
24.9979,-0.42395,0.437556,-72.529,52.884,0.001618,0.001
25.1001,-0.4242,0.43756,-72.455,52.82,0.00162,0.001
25.2201,-0.42445,0.437564,-72.389,52.763,0.001623,0.001
25.4338,-0.4247,0.437568,-72.33,52.711,0.001626,0.001
25.4847,-0.42495,0.437572,-72.277,52.666,0.001629,0.001
25.545,-0.4252,0.437576,-72.23,52.628,0.001631,0.001
25.5796,-0.42545,0.437579,-72.187,52.595,0.001634,0.001
25.6191,-0.4257,0.437582,-72.148,52.564,0.001636,0.001
25.651,-0.42595,0.437148,0.0,0.0,0.001586,0.001
25.6884,-0.4262,0.437216,-47.868,37.021,0.001573,0.001
25.7132,-0.42645,0.437277,-55.686,41.976,0.001565,0.001
25.7706,-0.4267,0.437325,-61.382,45.615,0.001561,0.001
25.8153,-0.42695,0.437363,-65.856,48.541,0.001559,0.001
25.8474,-0.4272,0.437393,-69.387,50.902,0.00156,0.001
25.8887,-0.42745,0.437416,-72.123,52.784,0.001563,0.001
25.9099,-0.4277,0.437434,-74.182,54.257,0.001567,0.001
25.9522,-0.42795,0.437447,-75.639,55.324,0.001573,0.001
25.9743,-0.4282,0.437457,-76.593,56.039,0.001579,0.001
26.0371,-0.42845,0.437464,-77.146,56.467,0.001585,0.001
26.0744,-0.4287,0.43747,-77.399,56.689,0.001592,0.001
26.1135,-0.42895,0.437474,-77.43,56.752,0.001599,0.001
26.1445,-0.4292,0.437479,-77.301,56.696,0.001605,0.001
26.1832,-0.42945,0.437482,-77.065,56.555,0.001612,0.001
26.2228,-0.4297,0.437486,-76.76,56.355,0.001618,0.001
26.4008,-0.42995,0.43749,-76.416,56.116,0.001624,0.001
