time_s,y_pos_m,z_pos_m,fz_force_sensor_N,fz_force_base_N,adaptive_phi,dynamic_sigma
6.494,-0.3777,0.434023,-141.645,146.201,9.6e-05,0.001
6.6131,-0.37795,0.434151,-138.389,145.35,0.000192,0.001
6.7135,-0.3782,0.434278,-136.28,142.261,0.000284,0.001
6.8309,-0.37845,0.434407,-133.554,138.011,0.000372,0.001
6.9379,-0.3787,0.434537,-130.147,133.016,0.000455,0.001
7.0498,-0.37895,0.434668,-126.273,127.553,0.000532,0.001
7.144,-0.3792,0.4348,-122.155,121.842,0.000604,0.001
7.2398,-0.37945,0.434931,-117.981,116.059,0.00067,0.001
7.3598,-0.3797,0.435062,-113.899,110.345,0.000731,0.001
7.4499,-0.37995,0.435191,-109.947,104.75,0.000785,0.001
7.5252,-0.3802,0.435312,-105.524,98.843,0.000834,0.001
7.6053,-0.38045,0.435424,-100.677,92.722,0.000877,0.001
7.6939,-0.3807,0.435525,-95.719,86.675,0.000914,0.001
7.8167,-0.38095,0.435617,-91.068,81.038,0.000945,0.001
7.9409,-0.3812,0.435705,-87.137,76.131,0.000971,0.001
8.0495,-0.38145,0.435789,-83.682,72.065,0.000993,0.001
8.1618,-0.3817,0.435871,-80.795,68.739,0.001012,0.001
8.288,-0.38195,0.435949,-78.503,66.048,0.001028,0.001
8.3919,-0.3822,0.436025,-76.747,63.91,0.001042,0.001
8.5007,-0.38245,0.436098,-75.462,62.249,0.001054,0.001
8.6,-0.3827,0.436168,-74.58,60.988,0.001065,0.001
8.7117,-0.38295,0.436234,-74.034,60.061,0.001075,0.001
8.829,-0.3832,0.436297,-73.76,59.403,0.001084,0.001
8.9355,-0.38345,0.436357,-73.698,58.959,0.001093,0.001
9.04,-0.3837,0.436414,-73.796,58.679,0.001102,0.001
9.1606,-0.38395,0.436467,-74.004,58.519,0.00111,0.001
9.2444,-0.3842,0.436518,-74.281,58.443,0.001119,0.001
9.3434,-0.38445,0.436566,-74.592,58.421,0.001127,0.001
9.7588,-0.3847,0.436611,-74.91,58.426,0.001136,0.001
9.88,-0.38495,0.436653,-75.211,58.442,0.001144,0.001
9.971,-0.3852,0.436693,-75.481,58.452,0.001153,0.001
10.1081,-0.38545,0.436731,-75.708,58.449,0.001161,0.001
10.198,-0.3857,0.436766,-75.886,58.424,0.001169,0.001
10.297,-0.38595,0.436799,-76.015,58.375,0.001178,0.001
10.3941,-0.3862,0.436831,-76.093,58.302,0.001186,0.001
10.5037,-0.38645,0.436861,-76.125,58.204,0.001194,0.001
10.62,-0.3867,0.436889,-76.115,58.083,0.001202,0.001
10.7222,-0.38695,0.436915,-76.068,57.944,0.00121,0.001
10.806,-0.3872,0.43694,-75.99,57.788,0.001218,0.001
10.9152,-0.38745,0.436964,-75.888,57.618,0.001226,0.001
11.0059,-0.3877,0.436987,-75.765,57.439,0.001233,0.001
11.0867,-0.38795,0.437008,-75.628,57.253,0.00124,0.001
11.183,-0.3882,0.437029,-75.481,57.063,0.001248,0.001
11.2649,-0.38845,0.437049,-75.328,56.871,0.001254,0.001
11.3383,-0.3887,0.437067,-75.171,56.679,0.001261,0.001
11.4171,-0.38895,0.437085,-75.014,56.489,0.001268,0.001
11.5207,-0.3892,0.437103,-74.859,56.303,0.001274,0.001
11.6252,-0.38945,0.437119,-74.707,56.121,0.00128,0.001
11.7488,-0.3897,0.437135,-74.559,55.944,0.001286,0.001
11.8269,-0.38995,0.437151,-74.417,55.774,0.001292,0.001
11.9577,-0.3902,0.437165,-74.281,55.609,0.001297,0.001
12.0617,-0.39045,0.43718,-74.151,55.451,0.001303,0.001
12.2,-0.3907,0.437193,-74.027,55.299,0.001308,0.001
12.2905,-0.39095,0.437206,-73.91,55.155,0.001313,0.001
